date,food,medicine,transport,utilities,personal,total_expense,avg7_total
2025-02-19,373,88,148,238,192,1039,1346.5714285714287
2025-02-20,487,131,126,325,259,1328,1267.142857142857
2025-02-21,188,153,173,372,160,1046,1297.5714285714287
2025-02-22,415,178,269,340,221,1423,1244.7142857142858
2025-02-23,113,60,276,441,150,1040,1253.0
2025-02-24,341,91,283,419,376,1510,1249.0
2025-02-25,364,148,223,325,104,1164,1228.5714285714287
2025-02-26,445,56,297,257,191,1246,1221.4285714285713
2025-02-27,152,193,297,347,269,1258,1251.0
2025-02-28,485,139,255,516,121,1516,1241.0
2025-03-01,439,161,164,582,100,1446,1308.142857142857
2025-03-02,191,109,118,560,232,1210,1311.4285714285713
2025-03-03,466,162,179,200,332,1339,1335.7142857142858
2025-03-04,363,51,112,586,111,1223,1311.2857142857142
2025-03-05,134,178,180,547,145,1184,1319.7142857142858
2025-03-06,305,97,102,389,133,1026,1310.857142857143
2025-03-07,180,189,89,390,177,1025,1277.7142857142858
2025-03-08,149,86,148,568,317,1268,1207.5714285714287
2025-03-09,459,58,179,511,172,1379,1182.142857142857
2025-03-10,487,148,113,316,381,1445,1206.2857142857142
2025-03-11,101,196,259,333,348,1237,1221.4285714285713
2025-03-12,489,97,217,257,146,1206,1223.4285714285713
2025-03-13,153,180,226,243,220,1022,1226.5714285714287
2025-03-14,205,197,265,372,313,1352,1226.0
2025-03-15,359,103,175,359,338,1334,1272.7142857142858
2025-03-16,409,169,80,372,155,1185,1282.142857142857
2025-03-17,290,165,148,516,206,1325,1254.4285714285713
2025-03-18,317,124,83,502,147,1173,1237.2857142857142
2025-03-19,143,162,95,348,160,908,1228.142857142857
2025-03-20,261,153,103,279,125,921,1185.5714285714287
2025-03-21,301,133,159,573,391,1557,1171.142857142857
2025-03-22,369,161,81,412,356,1379,1200.4285714285713
2025-03-23,450,148,299,402,107,1406,1206.857142857143
2025-03-24,403,142,207,451,212,1415,1238.4285714285713
2025-03-25,370,195,239,428,352,1584,1251.2857142857142
2025-03-26,314,177,298,363,279,1431,1310.0
2025-03-27,351,159,163,426,306,1405,1384.7142857142858
2025-03-28,289,131,231,346,226,1223,1453.857142857143
2025-03-29,395,103,219,219,155,1091,1406.142857142857
2025-03-30,312,117,257,246,313,1245,1365.0
2025-03-31,307,82,242,432,113,1176,1342.0
2025-04-01,336,191,203,504,127,1361,1307.857142857143
2025-04-02,437,70,112,213,177,1009,1276.0
2025-04-03,466,97,240,342,315,1460,1215.7142857142858
2025-04-04,152,197,268,200,253,1070,1223.5714285714287
2025-04-05,379,177,258,572,113,1499,1201.7142857142858
2025-04-06,316,185,250,253,286,1290,1260.0
2025-04-07,351,184,180,573,106,1394,1266.4285714285713
2025-04-08,287,194,91,458,102,1132,1297.5714285714287
2025-04-09,479,177,146,343,210,1355,1264.857142857143
2025-04-10,140,82,144,211,337,914,1314.2857142857142
2025-04-11,256,164,240,529,338,1527,1236.2857142857142
2025-04-12,114,168,247,423,373,1325,1301.5714285714287
2025-04-13,400,71,153,471,393,1488,1276.7142857142858
2025-04-14,164,87,122,557,326,1256,1305.0
2025-04-15,444,158,123,355,114,1194,1285.2857142857142
2025-04-16,426,100,108,572,291,1497,1294.142857142857
2025-04-17,108,57,220,207,218,810,1314.4285714285713
2025-04-18,443,76,91,321,127,1058,1299.5714285714287
2025-04-19,228,76,174,547,301,1326,1232.5714285714287
2025-04-20,235,70,125,363,138,931,1232.7142857142858
2025-04-21,162,79,209,289,372,1111,1153.142857142857
2025-04-22,238,146,114,335,330,1163,1132.4285714285713
2025-04-23,180,77,294,385,185,1121,1128.0
2025-04-24,491,160,160,515,225,1551,1074.2857142857142
2025-04-25,262,110,169,377,399,1317,1180.142857142857
2025-04-26,388,97,87,227,124,923,1217.142857142857
2025-04-27,478,196,172,419,244,1509,1159.5714285714287
2025-04-28,360,53,233,556,112,1314,1242.142857142857
2025-04-29,330,84,281,240,311,1246,1271.142857142857
2025-04-30,140,98,169,427,124,958,1283.0
2025-05-01,127,66,241,391,167,992,1259.7142857142858
2025-05-02,234,95,194,344,166,1033,1179.857142857143
2025-05-03,300,166,184,400,332,1382,1139.2857142857142
2025-05-04,427,55,214,411,208,1315,1204.857142857143
2025-05-05,367,148,275,419,245,1454,1177.142857142857
2025-05-06,132,173,137,439,210,1091,1197.142857142857
2025-05-07,147,86,193,596,327,1349,1175.0
2025-05-08,161,73,154,245,210,843,1230.857142857143
2025-05-09,315,142,236,234,133,1060,1209.5714285714287
2025-05-10,392,95,199,452,210,1348,1213.4285714285713
2025-05-11,198,144,243,589,363,1537,1208.5714285714287
2025-05-12,271,148,296,281,335,1331,1240.2857142857142
2025-05-13,459,165,100,570,182,1476,1222.7142857142858
2025-05-14,313,116,243,455,141,1268,1277.7142857142858
2025-05-15,134,177,217,396,200,1124,1266.142857142857
2025-05-16,326,67,180,502,105,1180,1306.2857142857142
2025-05-17,200,74,280,209,279,1042,1323.4285714285713
2025-05-18,230,103,231,511,381,1456,1279.7142857142858
2025-05-19,356,107,271,485,325,1544,1268.142857142857
2025-05-20,104,116,256,441,328,1245,1298.5714285714287
2025-05-21,317,153,178,450,388,1486,1265.5714285714287
2025-05-22,354,73,115,564,249,1355,1296.7142857142858
2025-05-23,497,163,289,204,376,1529,1329.7142857142858
2025-05-24,458,81,175,318,297,1329,1379.5714285714287
2025-05-25,382,135,231,488,169,1405,1420.5714285714287
2025-05-26,492,176,230,573,211,1682,1413.2857142857142
2025-05-27,306,179,269,264,103,1121,1433.0
2025-05-28,114,66,116,345,194,835,1415.2857142857142
2025-05-29,445,153,91,423,251,1363,1322.2857142857142
2025-05-30,141,186,192,438,236,1193,1323.4285714285713
2025-05-31,479,92,262,376,346,1555,1275.4285714285713
2025-06-01,278,88,92,466,342,1266,1307.7142857142858
2025-06-02,162,75,102,540,130,1009,1287.857142857143
2025-06-03,451,148,296,481,139,1515,1191.7142857142858
2025-06-04,330,99,178,262,328,1197,1248.0
2025-06-05,340,62,184,416,135,1137,1299.7142857142858
2025-06-06,151,109,109,541,322,1232,1267.4285714285713
2025-06-07,195,184,96,514,105,1094,1273.0
2025-06-08,487,106,192,482,319,1586,1207.142857142857
2025-06-09,321,85,141,376,174,1097,1252.857142857143
2025-06-10,330,69,163,297,103,962,1265.4285714285713
2025-06-11,336,114,191,304,233,1178,1186.4285714285713
2025-06-12,242,57,296,298,217,1110,1183.7142857142858
2025-06-13,270,193,165,584,193,1405,1179.857142857143
2025-06-14,128,191,220,510,161,1210,1204.5714285714287
2025-06-15,135,164,266,205,293,1063,1221.142857142857
2025-06-16,112,192,98,396,302,1100,1146.4285714285713
2025-06-17,259,141,256,550,125,1331,1146.857142857143
2025-06-18,426,147,179,332,272,1356,1199.5714285714287
2025-06-19,286,115,219,557,399,1576,1225.0
2025-06-20,342,81,268,458,232,1381,1291.5714285714287
2025-06-21,185,135,226,222,217,985,1288.142857142857
2025-06-22,383,100,155,252,374,1264,1256.0
2025-06-23,165,112,88,364,311,1040,1284.7142857142858
2025-06-24,269,174,278,401,324,1446,1276.142857142857
2025-06-25,144,199,107,282,119,851,1292.5714285714287
2025-06-26,161,107,285,344,212,1109,1220.4285714285713
2025-06-27,233,107,207,284,239,1070,1153.7142857142858
2025-06-28,383,135,131,277,146,1072,1109.2857142857142
2025-06-29,127,98,162,565,100,1052,1121.7142857142858
2025-06-30,207,119,190,200,189,905,1091.4285714285713
2025-07-01,143,64,223,250,241,921,1072.142857142857
2025-07-02,439,103,196,372,137,1247,997.1428571428571
2025-07-03,385,150,148,404,392,1479,1053.7142857142858
2025-07-04,430,57,178,459,238,1362,1106.5714285714287
2025-07-05,227,102,219,568,358,1474,1148.2857142857142
2025-07-06,447,109,104,487,260,1407,1205.7142857142858
2025-07-07,330,157,259,233,277,1256,1256.4285714285713
2025-07-08,289,54,202,547,109,1201,1306.5714285714287
2025-07-09,324,152,292,294,360,1422,1346.5714285714287
2025-07-10,484,55,132,271,237,1179,1371.5714285714287
2025-07-11,476,158,230,238,271,1373,1328.7142857142858
2025-07-12,382,165,223,353,112,1235,1330.2857142857142
2025-07-13,220,143,136,449,267,1215,1296.142857142857
2025-07-14,215,96,118,361,229,1019,1268.7142857142858
2025-07-15,332,148,188,317,183,1168,1234.857142857143
2025-07-16,358,104,260,458,200,1380,1230.142857142857
2025-07-17,458,101,121,578,372,1630,1224.142857142857
2025-07-18,297,193,265,505,364,1624,1288.5714285714287
2025-07-19,236,62,246,467,137,1148,1324.4285714285713
